tweets,target
"In any case, it is hereby announced that all the poverty, social, economic, cultural, political and gender problems in New Kerala will be solved by making Chantpots Mohiniyat. The revolution won.😂",0
LDF will come and everyone will run 😂😂😂😂 stop it,0
CPM and Pinarayi Vijayan also know that they want to talk about communalism in Kerala😂😂😂😂😂,0
Give a tender to Reliance Jio Mart and the goods will arrive quickly,0
"Pinarayi can only say communalism, have any Malayalees in Kerala heard a good word??? Pinarayi is still talking like the secretary of the party",0
Why nobody taking judicial action against telling lies by this criminal.,0
"He is Just Saying The Muslim community. Will get down to the struggle. And then They will be caught and put inside.
And then case Can be withdrawn..",0
"Didn't the center tolerate all the smuggling of gold, money and dollar currency?
Then this, and then anything else will be tolerated.
BJP is not taking any action and is fooling the ranks",0
It would have been enough to see him in jail for at least one day,0
"If the BJP protests where the truth is told, the people of Kerala will have grass....",0
"According to the Minister of Mook, BJP is growing, this uneducated dash monary is not for good.",0
A case should be filed against him but BJP will not touch him,0
"Literacy is the state of Kerala where there is no access to information, there is some education but there is nothing in the head",0
"A case should be filed against this pseudo-communist under the non-bailable section. Where is the police? There is strong evidence for this, the police who file cases under the non-bailable section against many poor people who bring news on the basis of evidence. Not only that, it is treason. Now file the case without waiting for the court to intervene.",0
This is not suitable for a leader.,0
"What I have said is true, so what is wrong with you?",0
Looks like BJP will come here sooner than expected if the chief has longevity!!!,0
"He is a cheap cheap minister who made you realize that if you get a little meaning, you will not only get an umbrella, but many other things.

So it is natural that the quality of the old party secretary sleeping inside comes out!!",0
An unbalanced chief. The party where Manonila was defeated. The advance of BJP cannot be tolerated. Comrades trembling.,0
Does the door open if the dog barks?,0
Blame the central government for this matter. Showing communalism for four votes..,0
This should be questioned in the court.. Don't condone the people who are trying to get votes by misleading people like this..,0
The Chief Minister only knows how to say racism!,0
He is an illiterate person. Don't expect more from him.,0
"This body that was silent when I called Avi, Malar and Kunthirika to take care of me... is he human.... what a pity 😢.😢

What if the chain goes mad?",0
It is a pity that there is not a single one with information and education among the Antamkamis,0
It seems that Pinam's head has been exposed 🤩🤩,0
"No, Malayalees vote for Congress to be in the opposition, they vote for BJP to rule, but why do you vote for Communists, where do you sit?",0
Is he eating human waist?,0
No one who has ruled Kerala by destroying it and fostering communalism has done anything like this,0
Pinarayi has only the good intention of instilling fear among the Muslim masses and pretending to be their savior and get votes. Ministers should decide in which way the CAA will not be implemented. Don't just create a smokescreen and get away with it.,0
Is he doing anything right? Did he ever stand against the destruction of our democracy?,0
"Comrades, is it wrong to expose the spoils of the disaster? 😊",0
"He was brought up and made like this by the BJP itself, there is no dirty work that has not been done in front of many files, criminal, civil, treason and concealment of all transactions, without the presence of the Central Solicitor, without bringing Lavalin in this century, BJP itself is fully responsible for the cost of helping.",0
Can a chief minister speak against the Indian law.... can he create religious hatred,0
The Kerala Marxists are not ignorant of the treatment of China Ugair Muslims in Chung. CAA Mahascharyam we also need to get the vote only so much. Let's wait and see how long the Marxists will continue to take advantage of the insecurity among Muslims 😜,0
Time has come to bring him in with Kejriwal,0
He is going against this country and center... He made this place a dangerous area since last so many years with the help of his terrorist group... Not to allow him freely travel this way and send to lock up,0
What will you do if you are weak due to lack of information and become pregnant due to lack of knowledge?,0
"The Chief Minister is creating so much communalism, the Chief Minister is afraid to tell the real truth, he did not get votes, that's why spread lies, the Muslim people will know the real truth.",0
"In Kerala, the Chief Minister is doing an act of beating the people by telling such news",0
"Damn, are the common people of Kerala carrying this burden to suffer so much sin?",0
In his name. A case should be filed against Andyumpal for creating religious tension - rioting. The law of the land also applies to him.,0
Bjp is playing a new game of talking about the chief and won't file a case in the name of the chief,0
Legal action can be taken against him for violating Sattrivangmula,0
People will beat the thief.,0
"There is nothing to say about governance, only forts. A dust hand to get Muslim vote!😊",0
Central govt will never take action against Pinarai,0
Can't he be fired? He should be able to take the case and arrest him.,0
"At least the people will understand Pinu's fake face, which is a plan to unleash rebellion in the face of defeat",0
"Case should be filed against this anti national remarks.Secondly this guy is misunderstanding our Muslim brothers by creating fear in their minds.Because all people in Malappuram are not fully educated. So they don't know what is written in the bill. IN THIS BILL NO MUSLIMS IN OUR COUNTRY WILL NOT HAVE ANY CONNECTION. THIS BILL IS FOR THE PEOPLE WHO CAME TO OUR COUNTRY FROM PAKISTAN AND AFGHANISTAN BY ATTACKING HINDUS, CHRISTIANS, SICK AND JAIN FROM THIS COUNTRY. THEY FORCED TO COME BACK OUR COUNTRY. OUR MUSLIM BROTHERS THIS IS THE BILL. BILL IS NOT AGAINST ANY MUSLIMS. PLEASE UNDERSTAND.",0
That is why the chief is placed in the chair to stir up communalism,0
Misguiding the Muslim community,0
He and the CPM party are criminals,0
"If there is nothing in this, why are you implementing it in such a hurry, Sankhis?",0
"He will say anything for the election, nothing else, if he does not win more than 4 seats, he will go and get the position of the National Party, that is why he is showing Immadiri Kollarutaima.",0
What to say about the animal that is not easy,0
I think he is out of his mind...,0
A case should be filed against him for sedition and sedition,0
It is important to see how the Election Commission views what has been said in the event that the election has been announced,0
He is trying to unite all Hindus,0
"It is not enough that this man is caught and thrown out for this reason, it will be difficult for the children of other religions who are going to be born poor to live, so he should be brought down and sent to jail.",0
Everyone should sit in their proper position or else such people would have come in and said that they are drowned ministers.,0
The biggest communalist in Kerala says that BJP is a communal party,0
Don't throw stones at a crazy dog.It will get angry. In the end it will be some deficit religionist who gets bitten.,0
Our legal system says what action should be taken when those responsible make such irresponsible statements. So what?,0
"No matter what he has done, is there no political leadership in India to lock him up?",0
This time seems to be the end of Kerala 😜😭😭😭,0
"CPM's agenda is to pit Hindu, Muslim and Christian against each other, they will destroy this country.",0
"The problems of the common people in this country, corruption, development, hunger is a way for the people to forget all this.",0
And who is against... Isn't it true what he said,0
"How many corruption allegations have been made about the Kerala chief, should he be arrested before KG Rival?",0
"Just to create hatreds, divisions and unrest
Commis low standard gimmicks ,Dirty appeasement
Spreading wrong information
What's congis stand on this?",0
A slave party is a party that does not hesitate to do anything for four votes,0
In parliament election we should not vote for the parties which support hamas organization in India,0
"By general society, not gangs",0
To become the Chief Minister in this party without anyone with knowledge and education,0
We also applied for this. But later it was rejected. But they are still calling,0
This is not fair,0
He was caught in the center and people understood his fraud to create classism.,0
The reason for the vote is because this informer is dead,0
All those LDF candidates who may get through in the ensuing Lok Sabha election will be disqualified based on this anti national and inflammatory speech by the CM. UDF candidates must also be careful while referring to CAA during canvassing.,0
Why central government is not taking action against this fugitive communist Thayoli 😏👹is center afraid of fugitive 😡,0
"If you are born here, you will live here. This is not a country of Rama and Kooman",0
"No matter what you say about Hinduism, it will be dismissed as secularism.",0
"If a beedi worker is made the chief minister, not only this but also more will be done.........",0
He should be arrested and jailed for this reason,0
"If you have courage, please explain what is the questionnaire in CAA, which is 100% anti-Muslim?",0
"Hasn't the general public started to understand that Chief Minister Pinarayi Vijayan is the leader of the banned PFI activists in Kerala? Pinarayi Vijayan is the leader of Islamic terrorism. Vijayan, who is now the Chief Minister, signed a party membership of CPM and the position of Chief Minister just so that the general public does not recognize this. The PFI terrorist is the one who made tea in Kerala. Central agencies NIA should keep a close watch on his activities. CPIM's Chief Minister post is just a smoke screen. People of Kerala should act cautiously in the upcoming elections. Otherwise the people of Kerala who are arrogant and arrogant will have to sacrifice their own lives. Remember, everyone needs religion and faith. People who are impartial and free from religious fanaticism should understand that the present is in very great danger and should not forget that the danger is right next to us.",0
Even the Chief Minister is running through the veins,0
They will spew racial venom and then say secular,0
Kerala Muslims get easily persuaded by all these propagandas,0
A chief minister should not have talked like this it's completely condemnable,0
Save our nation from Marxism and associated alliances,0
"Aren't they now Bantus? If you criticize your relative, your daughter's future is not precious to every father. What every father wants is the well-being of his children. There is no problem in it. There are fathers who have shown selfishness for their children and those who have fallen into traps.",0
Pinarayi Vijayan's decadent election tactics... Don't think that the Muslim community will believe the words of this scoundrel... Just see them as the decadent jalpanas of a wretched birth that seeks to rule the people of Kerala as slaves of Jihadis.... This Pinarayi Vijayan is a black chapter in the history of Kerala. .,0
"Stupid people should suffer, still vote for them and win hellish sufferings anubhavikku",0
"He is a mentally deranged leftist who only tells lies to settle the BJP's enmity, steals everything he can get, and does treasonous activities by turning the people against the country. He should be charged with treason and put in jail.",0
"Didn't hear the speech. If true, this is enough to drive a community into rebellion.",0
Nationalists cannot live without eliminating KJP and CPM,0
"If you take a person who doesn't know how to read and write and make him the chief minister, it will be like this",0
"According to him, all the inventions and achievements in the world today are basically due to the efforts of Muslims. , diesel engine, bulb and everything will be included in it 😆😆😆😆😆...",0
Is this Pinu an idiot? He will stoop to any level for votes. He is always reading out prepared notes. Doesn't he understand what he is reading out? He is desperate to get some LS seats to keep the party going.,0
He is a real racist,0
It's a pity that he's so sad,0
CPM is creating riots in Kerala,0
Can you change ON Grid to Off Grid?,0
He will fall on his head,0
Why can't BJP go to court against his allegation?,0
Why don't the police file a case against the CM for inciting religious sentiments. He will set religious fire in Kerala before he goes to jail....Psychopath 😢,0
There is no action for this... to whom to complain,0
Vijayan destroyed the Communist Party,0
No one in this country has the backbone to replace someone who is so troublesome.,0
It means people leaving in Malappuram are uneducated. They may be living in North Korea.,0
A Jana Sabha should be held to remove the fear of Muslim sect here,0
"Muslims don't trust him, he is a traitor, if you trust him, everyone will be inside 😠😠😠",0
A responsible person should never talk like this. Very bad. The set back for such irresponsible statement from the people will be very hard.,0
"Viewing it as unconstitutional, it is a civil rights act. It is the responsibility to implement it. It is not against the citizens of India, but for those who have migrated from abroad and are living here illegally. This is the law in this world.",0
The Chief Minister made a statement which created separatism among the Muslim community in Kerala.,0
We don't want this foreign party. What is needed is a party born in India.,0
"What is new in this, expect the same from this Nari....",0
Muslims are the shovels in the hands of Pinarayi.,0
"There is a law in the country to take strict action against anyone who tries to mislead the people and spread fear among the people by misinterpreting a law while in power.
A Chief Minister cannot speak at all levels like a political leader. Under the National Security Act, the Central Government and the Supreme Court can take action on such occasions.",0
"This is what is happening in Muslim homes, those who are going to get votes, Center will not take any legal action in Kerala, CPM BJP alliance is proof of this.",0
Get rid of the woodpecker so soon. This is a danger to the country 😡😡😡,0
Is he a supporter of ISIS?,0
The time for him to go to jail is over,0
The Chief should remember that Hindus who are Communist sympathizers will also listen to this speech.,0
CPM has become the biggest fascist party in India and survives only by misleading own party cadre and common man. They want the votes only and never really care about any community in particular. Countdown started for the last days of CPM and a Dictatorship. CPI will survive not CPM.,0
There are few people who read the news in Janam TV,0
CM should not be a terrorist,0
"You and Pinarayi Vijayan are almost one and the same. The wild thief Vijayan plundered entire Kerala and Modi can't even touch a single hair of him. Modi govt and BJP have no energy to jail this wild thief Vijayan. Alas, all love for Modi is disappearing because of this Vijayan.",0
He is in a deep state and if he gets the whole country burnt he can escape that is one of it....,0
What is the situation if the Chief Minister who knows everything calls out like this? It is only to mislead the Muslim brothers. E drama. He said that he should not say anything for the sake of four votes.,0
Communism is against democracy,0
"Let Vijayan continue to inflame Islamic communalism like this, nothing more needs to be done to make people think in favor of BJP.",0
"The reason BJP is not winning here is because Pinu has not been brought in with proof yet. People harbor resentment.
Also causes denial of vote.",0
Muslim brothers and sisters are so stupid to believe the main bad advice.,0
So it is not the Malayalee Prabhuddha who can be enlightened forty times at this hour.,0
"BJP Malappuram district leader K.K., who complained to the Central Election Commission. Congratulations to Surendran 🧡🧡🧡🧡🧡. BJP should have done this earlier. When such issues came up earlier, the BJP just sat there pretending not to have seen or heard them, so they still dare to stay here in Kerala and indulge in anti-Hinduism and Jihadi terrorism. Don't allow it anymore. And people should not say Muslim brothers on TV... just say sect. Do you call those who killed our Hindu brothers in Malabar and Marad brothers? 😡😡😡😡😡😡 Janam T.V",0
Pinarayi Vijayan is making up for the lack of Mdani in Kerala? The PFI leaders sitting in the cliff house and sitting in the cliff house is a terrible situation!,0
It is good for the Muslim people to know that he is showing such caution only for his survival. What will be the fate of the country if the rest also have such a spirit. It is better for the people if they don't hold his breath.,0
Does anyone know why these types of speeches are not a violation of election code of conduct??? Isn't it clear that election code of conduct is a partisan activity????,0
That is the problem. Will read what is written. I don't know anything beyond that.,0
"You know, the health minister wears make-up, praises the chief, and lies when he opens his mouth.. In the meantime, he doesn't have time to look at your business. Apart from this, nothing is going to happen with them.",0
Remember those who have homes and families when voting. They are animals,0
What is not good about the deficits?,0
He reads what someone writes 😂😂Yes he knows,0
"When they say citizenship to non-Muslims, it is the religious fanaticism of the dunghills",0
"Yes, he is MAKING religious unrest in Kerala with such statements.",0
Take it and make it Manipur here,0
Oh this Manipur won't stop no matter how much I say 🤭🤭,0
Do we have to prove citizenship?,0
Pakistan's work has been undertaken. Salary and bonus. All these are given by the terrorists… That is why the Indian people are fighting each other….,0
It doesn't seem like it will be long before we see the palaces made of dirt crumble in the face of truth.,0
In this way the chief will have to speak till death otherwise the Murians will handle it. Scared 😂😂,0
The next symbol of CPM is the tree.,0
Let the center rest in peace,0
BJP should file suit in SC nd this very well amount to violation of election rules ..kizhangan paranaari😂,0
"It would be better if the Hindus thought about it. No Hindu should vote for CPM. If you want, you can give it to Muslim League candidates.",0
The time to be chained is over..:. The chief has changed his religion and has taken the form of a terrorist.,0
He may be thinking to make trouble among people by misleading the matter.,0
What will you do if it is so.,0
"This is a way for BJP to win in Kerala. You don't have to say anything about Modi's development here. Here they are going forward by making remarks that divide Hindus and Muslims. In this election, the issue of citizenship is a campaign. Only if BJP moves forward by creating question and answer platforms from the public, Muslims are being hunted here. When it is said that when such a story is spread here, ordinary Hindus and Christians can only stand with the Muslims. Therefore, question and answer forums should be organized at the intersections across Kerala, focusing on the people, focusing on citizenship. This is the only solution.",0
There is no need to lie down and moan when the story of the party relatives who made the paper companies took advantage of the situation and gave tacit permission to lick the import commission.,0
The crying of those who abused Oommen Chandy to the utmost 😂,0
Shailajak is just an image created by CPM's PR work. Shailajak's approach is the same as covering the entire corruption of the CPM and the government.,0
"Escape is always escape. If you see his tree, you will know that he is a world leader🧟",0
LDF started with the smell of defeat in Vadakara 😂😂,0
They will make many complaints that the CPM will surely lose,0
It was not enough to not commit corruption,0
"During the covid-19 pandemic, the PP kit was available for only Rs 500 in the market and the documents show that Shailaja said in the assembly that she bought this kit for Rs 1500. In it, it was said that she paid more than Rs 1000 for a PP kit and Vijayan also knew about it.",0
Why are you so scared? What cyber attack was done against Oommen Chandy?,0
Didn't Pinarayi win the Kerala government by defaming Oommen Chandy sir and murdering him?,0
"There's nothing wrong with telling what happened, but it's not what happened anyway",0
"The fabric should be smooth. The kit was bought at that high price when it was in short supply. At that time the Congress ruled Madhya Pradesh paid over Rs 2000 for the PPE kit. When Shailaja teacher herself explained this, the UDF leaders kept their mouths shut. And then when the election is held, it is released again through social media with the rank and file.",0
"The fabric should be smooth. The kit was bought at that high price when it was in short supply. At that time the Congress ruled Madhya Pradesh paid over Rs 2000 for the PPE kit. When Shailaja teacher herself explained this, the UDF leaders kept their mouths shut. And then when the election is held, it is released again through social media with the rank and file.
The people of Vadakara will also respond to this propaganda. Beat KK Shailaja in Vadakara",0
Why does CPM get mad when talking about Shailaja's corruption during covid 😂,0
"What can be said about the insults that arise when defeat is faced by those who have made fraud and embezzlement a regular job, but what can be said other than the intolerance that arises when it is exposed in public.",0
Want to know more about how each party is able to touch on the Easter holiday?,0
Together with his daughter. But when will it happen??,0
"Shailaja, who says she is a teacher, did not say anything about this? Every vote given to them is a support for sfi atrocities like this..we should not be responsible for these deaths",0
Badly portraying a teacher who drowned during the covid period and now accepted the fake role of the world is doing a good job 😂😂😂😂😂😂,0
Prema Chandra escaped and even Oommen Chandy was not spared.,0
"Dear Modi ji, if you are the Prime Minister of India, this organization called SFI should be eliminated, then all of Kerala is with you.",0
"Whoever has a son will be inside, and no government will come to rescue",0
All those involved should be prosecuted and punished. Brutal students should be expelled from the entire college.,0
"Now there is no court of justice, and the door has been closed to the children",0
"Tell the people of Kerala, tell the country in English and Hindi",0
"A government that destroyed the future of 10000 youths. What a crazy situation. With just 12 days left for the list to be completed, the government has decided to do something",0
"Not to beat anyone, not to belittle anyone. This struggle is for claiming and deserving. Out of the two and a half lakh candidates who wrote the exam with this fervor and undefeated vigor in the last 50 days, only 21% of the nearly 14000 candidates who appeared after the various stages of the exam got jobs. Only about 11 days left for the expiry of ranklist save Police Constable Ranklist 530/2019. Don't give up🙏🏻🙏🏻🙏🏻🙏🏻😔😔😔😔😔",0
"Only 12 more days for the list to expire. Around 9000 candidates hoping to secure their future if DYFI, which is fighting the Center against unemployment, and the government that is ruling Kerala will come to terms with it.",0
The people's government led the youth to strike on the streets for 50 days for a job,0
The central government's argument was that Kerala does not have to pay even a single rupee for rice procurement. But the central government's decision to allow the arrears is an admission that this argument is wrong. The government has sanctioned Rs 852.29 crore for the five-year arrears till 2021. 756.24 crore rupees is yet to be paid by the central government to the state in good storage share of paddy.,0
Don't trust this nonsense in life.,0
People of Kerala have not seen why they feel pain when talking about what happened,0
"Today, the people know the truth that Kovid Kalli was held back by PR work. Crores were exchanged.",0
Christians should not vote for BJP under any circumstances. BJP is communalist. They are enemies of Indian people.,0
"The mind that showed praise to the king even though he was lying in the sun in such a bad condition 😂😂 Chumma, it's not that you can't get a job, if you change, maybe the rest will be saved, Admi Sutapi 😂",0
What is the point of giving notice....if you don't want to appear...?. What will be done ..?..didn't you hear what a great man who has been noticed many times asked? I wonder if it will be put in the nose....poor ED is again looking for lawyers....seeking if there is any solution for this.......sad,0
"If you can keep all the notices given to them, you can make good money. You can make good money if you take all of them and sell them in the shop. ED has so oru👌 quality.",0
What is this ED? Even this indiscriminate woman needs legal advice if she wants to question Pillai. I laugh after listening.,0
Why legal advice to give notice? It cannot be because she is the chief's daughter,0
"A doubt; incase if Riyas needs to meet the questioning of ED as husband, CAN HE SAY TALAQ and save him???? 😮😮😮😮😮",0
"People are hearing good news. When they made a lot of money through corruption and looting, they forgot about the people and the country. I can't go to feel it 😭😭😭😭😭😭",0
"In fact, the Center is in bigger debt than Kerala. There is only one difference, because Kerala does not have a Reserve Bank, it cannot print notes. Locals do not know the debt of the center because they can mint notes. Inflation in India is 5.10. Union Minister Nirmala Sitharaman should answer this first.",0
I thought that I should give one vote to BJP but now I changed my mind because of the dictatorship that is being shown,0
Let's wait and see this simple game of bjp until the people know and write the verdict,0
fake Unexpected the party BJP. Tuff. For Modi. to guard don't know to him shot to put No. Areyu.,0
"Congress, please stop this game of yours....RSS and congRSS are two sides of a fake coin. People recognize everything. Fearing the saffron army, League Muris also came to Alappuzha and Wayanad. No other party in the country has the disadvantage of having to take refuge in the votes of Att-e-Islami and Sutappi Adi.",0
"Manmohan, the headliner, watched and enjoyed all that when the Gujarat riots played out and played out all the bad things like that, did you feel it now?",0
"All are equal in a democracy, pay taxes without spending",0
"You have been running the administration well, but did this happen? Did you forget about 2G? Did you forget to look after the people?",0
Give back the money you stole earlier,0
We should not swallow what the political parties are saying whole and evaluate whether what they are saying is true so that each of us can exercise our right to vote.,0
File case at Supreme Court- this is murder of democracy,0
No more advice - put this fake family in jail -,0
An important step forwarded when the Western Ghats were given World Heritage status by UNESCO in 2011 was to end the monoforest project and to end the afforestation of revenue land and displacement using biological weapons called wild animals as part of this project.,0
"The Center is showing us this fraud...if these people come back to power, they will collect this money and interest from us.",0
"Adani, Ambani, BJP party RSS organization first publish copy of last 10 years tax paid in newspapers.",0
It's good fun now to hear the cries of thieves 😂😂😂😂,0
Let the thieves argue BJP and Congress. Who cares about them?,0
Approach the seat of justice and let justice dawn,0
The first reason. Congress ignored demonetisation. Now if BJP comes to power. Congress leaders can also go to jail and eat.,0
The reason for not being too strict is that the BJP's votes will be less than the births!,0
"Political parties don't have to pay taxes - they have to be accountable every year. It should show the list of those who contributed more than 20,000. If the account is not provided, there will be no tax relief. Taxes, interest and penalty must be paid like a normal person. That is the responsibility of the Congress. BSP used to pay fines.",0
"When the administration was there, the group was playing and walking around 🤣BJP should not have been allowed to grow and should have been closed 🤬🤬",0
What is not paid on time. It is not enough to withdraw from a Swiss bank.,0
The party called BJP is going down so much 👍,0
CPIM...when it said years ago...it was Congress who despised CPIM....you also experienced...when they were separated on the basis of religion...cpim said then...that we should be ready for agitation together....why are you wanting now? ..Congresse... It is a good time to dissolve the Congress,0
Isn't it the Congress that raised them with difficulty? A calamity which would have been avoided if the real culprits had been punished in countless cases of Babri riots in India is haunting you today in its fiercest form. A result of the soft stance taken by Indira Gandhi onwards against the Rss. 🤬🤬,0
I have also applied. Everyone should file a case.,0
The K government itself is a half-assed mess,0
"The educated are the most vulnerable... Most educated state... Most manipulative people.... Sadly education has gone the way of figuring out how to squeeze common man. AI cameras, alcohol, taxes, ... Kerala (Gods own) will soon find new ways to tax the living day lights out of you. I am sure the administration must be working on how to tax AIR. The irony is many will justify ""AIR tax"" ... Gas bags... It's Kerala's new constitution.😮",0
"Who said that the government is an ass, what is the wisdom of squeezing the people😂😂",0
"I foresaw that there was some kind of scam lurking in this scheme and didn't jump in. Don't say good luck. Now after the election, there will be another price hike. New orders will come. All the responsibilities will fall on the people.",0
What is being said here is a complete lie. How many people have been placed in the commandolies? What Solar Sanke is saying is a complete lie,0
"There is another formula for that, if we calculate the unit cost per month and install solar only, then the bill will be 0.",0
There is no one to deceive him,0
We all know about the Lavaline scam related to electricity,0
"I am not a party supporter...no idea that governance is good...but want to ask as a common man, isn't the name of this scheme PM Surya Ghar Muft Bijli Yojana PM's free solar scheme...with subsidy...lots of ads and so on Seen ... So how can it be CM or LDF scheme? Just want to know the status quo.",0
Totally misleading information. Govt has no plans to implement gross metering. The regulatory commission confirmed the same during the hearing. Please verify the facts before making such reports,0
At least 50 people per person should discourage from voting cpi,0
It is not right to inform the people of a news that the Kerala government has not decided to implement. It is right to say that if the Kerala government has implemented it,0
bloody fools. iam also depending on solar energy we are cheated,0
"Off grid is better only after the meeting of these two meters. But if you put ON grid, you don't know when kseb will switch
In the end, the customer will not call..😮",0
This is called double daddy disorder and this award goes to Pinarayi,0
"She says that her sister-in-law is with the water authority. Why so much money? Just giving. All this is automatic processor and she herself has a salary of around Rs 82,000. She says a human does not work 😂😂 There is no need to work because it is all automatic. She always tells me why pay such a huge salary 😂",0
"My father was a chief engineer. It has an inextricable link with KSEB. But I say this stuff should be privatized. Dad always says to me why am I getting so much pension.😮😮 Pension is now around 87000 rupees he always says check this why no one is ready why such a huge amount. There were many AEs under him. A thought he shares is why this marks so much. He says that all this is an automatic process and these offices are started only to collect money, nothing special is happening there 😂😂",0
Oh..I'm going to knock 🙏🙏 because of these people 😡😡,0
Are there people who buy the kit and vote with their finger in their mouth? Like 😮😮😮,0
Cursed political party and its workers.. Communist Party means cursed movement. It means,0
No one should be fooled by this scheme,0
"To tell you the truth, it is now impossible to live in the country with Myran",0
Never trust kseb.only off grid.While watching this no power.Manipulations of kseb thru on off drama😅😅😅😅😅😅😅😅😅,0
You first take Antony to talk against Onte Moni and hit the dialogues,0
Wasteful births like KC will dig the well of Congress. Did this great man not know that 300 crores of black money was seized from the house of Congress MP in Odisha?,0
"If you have to pay tax, then go and pay it and then maybe pay the democratic speech, if not, you should proceed with appropriate action against the authorities. There is no point in Pala saying a lot",0
"No one should vote for bjp in kerala for any reason, they will commit genocide like they did in manipur and gujarat, they will loot the people.",0
"In the hands of the eight-legged mummy who says Iam Accountable,
No count of built latrines,
No number of houses built,
No count of dead farmers,
No count of dead covid patients,",0
"When the Congress ruled, why did they not remember the hardships of the people in many ways?",0
He does not have anything to talk about development for the people.,0
"Did you play in the group? As the soil beneath you eroded away, you kept on paraveping and forgot about your ranks.",0
"Electricity is the right of everyone, only maintenance cost should be charged.",0
 Who cares about all this ...... How much gold is in the crown given to Our Lady of Lourdes? Did Sunil Kumar post the picture with Tovino Thomas?,0
He is telling a big lie.. Government has not taken a decision as he is saying.. 1 crore people joined Modi's program.. Is he cheating?,0
This is not the case if a criminal is elected to rule the country. We VDs will have to suffer beyond this..,0
"When the election comes, the victims of various government scams can settle their accounts",0
"I have been calling Shajan Scaria Mr. or adding your name for so long, this Modi devotion of yours compels me to call you many more.. Till date you have opened your mouth about Modi's Electoralbond? All the other political parties are talking horribly about Modi. Why are you not talking about Modi? I say no ruler has ever come in India, a criminal thug like Modi... He will destroy India.. No doubt. Are you afraid of leaving... If you are born in a family then put a video about it... It requires ***assurance, you must be born in a family... Do you understand sir...",0
Commies are particularly good at eating people without any effort,0
"Oh God, what can I do to justify any action of those who turn their backs?",0
"Malayalees generate a tax income of 1 lakh 175,000 crores per year to the Kerala government. Malayalees pay tax on everything from salt to camphor. Kerala government has more responsibility to provide jobs to Malayalees. Kerala is going to collapse due to mismanagement. When the public debt increases, there will be an increase in prices only in Kerala. When the public debt of Kerala increases, the price increase will increase. The first thing to come in Kerala is a huge price increase. When Vijayan came in 2016, the public debt was one and a half lakh crores in 7 years and an additional 4 lakh crores in 7 years 😏😏😏 Kerala will become the worst state in India in 15 years Kerala will become the most expensive state in India. It is already a complete consumer state 😏😏Keralites especially Semitic people (more than 50%) should ignore BJP.Kerala will become the worst state in India in 15 years 😂😄😄😏😏Then learn. In the rest of the BJP-ruled states, everything is a double-engine government and up to the development, the state government and the central government will contribute 😏😏Kerala will make all the projects implemented by the center in its name. Everything, including the life house scheme, including the ration shop, including distribution of midday meal, has the share of the Centre. But no one will say anything because the Antamkammis are gangsters. In Kerala, 60 lakh people have gone abroad as expatriates. Four or five people in the country live on the money that each one sends. 60 lakh good four two and a half crore people. Rest of the government officials.. 4 or 5 people live in the country depending on each and every one of them. There are no industrial establishments or employment opportunities in our Kerala. You can live in Kerala only by doing wage labor or in poverty. Being a Keralite is nothing to be proud of. The Malayalis themselves go to work in Bombay, Gujarat, Bangalore, Chennai and Delhi. There is nothing left in the hands of the Kerala government except to pay salaries and pensions to the Kerala state government employees. 😏 Ration shop, school children get porridge, job guarantee and life housing scheme are all because of the center. Look at the condition of panchayat roads it is the duty of kerala govt, everything is dilapidated 😏 in 15 years kerala will become the worst state in india. The Center will not look back because the people here did not defeat the BJP. Everything is progressing in other states. In the past, only men did not have the right to live in Kerala. In the coming times, we can live only if women also leave the country and become expatriates 😏😏🎉🎉🎉",0
"So, kerala is famous for that. That's why, the north Indians rarely employ them?",0
"Let's say something else tomorrow solar will give us hybrid momentum and we can use all the current that is produced like that. Don't serve information that makes fools of the people. Don't serve bad information like putting coconut in putt. Sajan is just giving wrong information to make money through YouTube. Solar can be done in 3 types Grid, OnGrid, hybrid tata companies mostly do it in Kerala and reliable companies like ElSol install grid in the farm only when we get sunlight we can operate the equipment.
Another thing is that KSEB does not charge any money for this. In MNRE sem there is a subsidy of 78,000 for 5KW. If you look at the site, don't get confused.",0
"Solar MNRE belongs to Central Govt. I fit it without any fuss and will fit the NET meter the next day. What KSEB pays us is the average of the purchase price of the brand new purchased by KSEB from various companies. What you said is that POWER is for business car that means it is for those who produce POWER, it does not cost us, the place is ours and we should not use it, then MNRE scheme is CENTER GOVERNMENT scheme, it needs approval of distribution company in each place, if the distribution company in Kerala is KSEB in Maharashtra, then MSEB, RELIANCE, TATA belong to KSEB KERALA GOVERNMENT. READ ELECTRICITY REGULATION OF CENTER GOVERNMENT NOT PINARAI'S WHOEVER COMES TOMORROW",0
"What is your grudge against Pinarayi and nothing about petrol price reduction during elections?
Unsaid",0
"Sir, you don't have to tell anyone how many things are there, Jesus is in heaven, who thinks about the octopus eating meat?",0
Is there any problem if the solar kseb is not connected as well?,0
"No need, everyone should turn off the solar system at 12 noon. Kseb will fall at our feet",0
"Any scheme if involved state govt, would ultimately end in a mess",0
"If KSEB is closed down and electricity business is given to reliance company, this government may be able to escape from fraud.",0
This amount is the same program that Pinarayi signs for mother and children?,0
"But this gross meter project is not of the central government. That's how it is in the newspaper. All other states are implemented. It came that only Kerala has to implement. I read it in Mathrubhumi paper. Now who should be trusted..Anyway, all those who use solar will be sued in court.",0
How about canceling the connection and using full solar energy??,0
